City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
512,Cumana,VE,77.0,moderate rain,10.46,-64.18,TIUNA INN HOTEL
513,El Tigre,VE,73.74,light rain,8.89,-64.25,Hotel Santa Cruz
514,Kalabo,ZM,71.38,overcast clouds,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
515,Abu Kamal,SY,78.75,clear sky,34.45,40.92,محطة التلفاز
516,Anori,BR,85.35,clear sky,-3.77,-61.64,Novo Hotel 05 Irmaos
520,Atar,MR,89.2,few clouds,20.52,-13.05,Oumou Elghoura
521,Calatayud,ES,77.0,clear sky,41.35,-1.64,Hotel Monasterio Benedictino
522,Tlapehuala,MX,85.6,scattered clouds,18.22,-100.52,Iglesia del Dios vivocolumna y apollo de la verdad
523,Fengcheng,CN,70.59,broken clouds,40.45,124.07,Hanting Hotel Fengcheng Phoenix Station
528,Buba,GW,75.38,light rain,11.58,-15.0,Pousada Bela Vista
529,Uchiza,PE,72.36,light rain,-8.46,-76.46,Hotel El Rancho
530,Acajutla,SV,84.2,scattered clouds,13.59,-89.83,Stop.
531,Kendari,ID,76.01,broken clouds,-3.94,122.5,Hotel Wixel
534,Bogande,BF,75.96,overcast clouds,12.97,-0.14,Auberge Wendkouni
536,Road Town,VG,82.99,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
538,Sitio Novo Do Tocantins,BR,84.49,broken clouds,-5.52,-47.46,Imperial Hotel
547,Eydhafushi,MV,81.54,scattered clouds,5.1,73.07,Soneva Fushi
551,Volterra,IT,78.01,clear sky,43.4,10.86,Hotel San Lino
552,Batala,IN,75.2,mist,31.82,75.2,Hotel Metro'z Bal'z
554,Tucumcari,US,88.57,light rain,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
557,Gat,IL,78.01,clear sky,31.61,34.76,רגע בנחת
559,Elizabeth City,US,82.4,clear sky,36.29,-76.25,Hampton Inn Elizabeth City
562,Witu,KE,74.17,scattered clouds,-2.39,40.44,New City Guest House
563,Nerja,ES,82.0,clear sky,36.76,-3.89,Toboso apar-turis
564,Sarangani,PH,78.31,light rain,5.4,125.46,Ballistic Islet
565,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
569,Kavaratti,IN,81.55,light rain,10.57,72.64,Bismillah Hotel And Lodging
570,Erzin,TR,75.0,light rain,36.96,36.2,Artemis Otel
572,Puerto Leguizamo,CO,75.34,light rain,-0.19,-74.78,la casona de juancho
573,Palmer,US,86.0,scattered clouds,42.16,-72.33,Wedgewood Motel
574,Morondava,MG,72.68,broken clouds,-20.28,44.28,La Case Bambou
576,Tohana,IN,77.74,moderate rain,29.7,75.9,Bhatia Hotel
580,Pacifica,US,77.0,overcast clouds,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
